Load Factor,Average Number of probes to build table,Average insertion time,Average Number of probes to find an entry,Average time to find table entry,Average Number of probes to determine entry isn't present,Average time to determine entry isn't present
0.100000,0.0997480000,0.000562,0.096300,0.0016000000,0.198300,0.0000000000
0.200000,0.2166620000,0.000408,0.208000,0.0033000000,0.434000,0.0000000000
0.300000,0.3489080000,0.000344,0.341100,0.0000000000,0.757100,0.0000000000
0.400000,0.4967980000,0.000344,0.486500,0.0000000000,1.137800,0.0000000000
0.500000,0.6750180000,0.000374,0.650100,0.0000000000,1.603500,0.0000000000
0.600000,0.8867120000,0.002028,0.895300,0.0016000000,2.313600,0.0000000000
0.700000,1.1573760000,0.000374,1.145600,0.0000000000,3.382100,0.0016000000
0.800000,1.5492440000,0.000406,1.526500,0.0000000000,5.364200,0.0015000000
0.900000,2.2418460000,0.000438,2.201200,0.0000000000,11.185000,0.0015000000
1.000000,7.3210220000,0.000750,6.359300,0.0015000000,728.461100,0.0421000000
