Load Factor,Average Number of probes to build table,Average insertion time,Average Number of probes to find an entry,Average time to find table entry,Average Number of probes to determine entry isn't present,Average time to determine entry isn't present
0.100000,0.0527340000,0.000436,0.051000,0.0016000000,0.106900,0.0000000000
0.150000,0.0853860000,0.000436,0.083500,0.0016000000,0.186500,0.0000000000
0.200000,0.1218320000,0.000350,0.115900,0.0000000000,0.256300,0.0000000000
0.250000,0.1628000000,0.000312,0.163100,0.0000000000,0.363500,0.0000000000
0.300000,0.2118140000,0.000312,0.204500,0.0000000000,0.499200,0.0000000000
0.350000,0.2645820000,0.000498,0.263600,0.0000000000,0.695100,0.0000000000
0.400000,0.3284560000,0.000312,0.319500,0.0000000000,0.872100,0.0000000000
0.450000,0.4061180000,0.000342,0.399100,0.0000000000,1.145700,0.0000000000
0.500000,0.4977120000,0.000344,0.473500,0.0000000000,1.508900,0.0000000000
0.550000,0.6077660000,0.000312,0.599000,0.0015000000,1.937800,0.0000000000
0.600000,0.7425580000,0.000344,0.741400,0.0000000000,2.590300,0.0000000000
0.650000,0.9252500000,0.000406,0.872800,0.0000000000,3.366300,0.0000000000
0.700000,1.1542680000,0.001156,1.159200,0.0000000000,5.091000,0.0000000000
0.750000,1.4838380000,0.000342,1.432100,0.0016000000,7.432700,0.0000000000
0.800000,1.9869360000,0.000562,1.993500,0.0015000000,11.624300,0.0000000000
0.850000,2.8108460000,0.000474,2.798800,0.0000000000,20.154100,0.0016000000
0.900000,4.5205560000,0.000498,4.626900,0.0016000000,48.725500,0.0016000000
0.950000,10.2698520000,0.000686,10.012900,0.0015000000,131.506600,0.0032000000
