Load Factor,Average Number of probes to build table,Average insertion time,Average Number of probes to find an entry,Average time to find table entry,Average Number of probes to determine entry isn't present,Average time to determine entry isn't present
0.100000,1.0000000000,0.024900,1.106000,0.0110000000,1.106000,0.0110000000
0.200000,1.0000000000,0.008920,1.181000,0.0060000000,1.212000,0.0050000000
0.300000,1.0000000000,0.007800,1.314000,0.0080000000,1.267000,0.0050000000
0.400000,1.0000000000,0.008060,1.390000,0.0070000000,1.377000,0.0090000000
0.500000,1.0000000000,0.008880,1.471000,0.0060000000,1.502000,0.0040000000
0.600000,1.0000000000,0.007380,1.649000,0.0070000000,1.581000,0.0070000000
0.700000,1.0000000000,0.005860,1.699000,0.0060000000,1.690000,0.0040000000
0.800000,1.0000000000,0.004640,1.807000,0.0060000000,1.775000,0.0450000000
0.900000,1.0000000000,0.007900,1.879000,0.0080000000,1.904000,0.0090000000
1.000000,1.0000000000,0.008480,2.004000,0.0070000000,1.970000,0.0070000000
